sym_id,symptom,disease,diagnosis,treatment
228,Chronic sinus infections that do not go away with antibiotic treatment,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
229,Frequent headaches or pain in the sinus region,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
230,"Pain or swelling in the face, eyes, or ears",Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
231,Persistent tearing of the eyes,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
232,Bulging of 1 of the eyes or loss of vision,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
233,Decreased sense of smell,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
234,Pain or numbness in the teeth,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
235,Loosening of teeth,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
236,"A lump on the face, nose, or inside the mouth",Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
237,Frequent runny nose,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
238,Frequent nosebleeds,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
239,Difficulty opening the mouth,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
240,A lump or sore inside the nose that does not heal,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
241,Fatigue,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
242,Unexplained weight loss,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
243,A lump in the neck,Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
244,"A lump in the neck, which is the most common symptom",Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
245,Nasal obstruction or stuffiness,Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
246,Trouble hearing or hearing loss,Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
247,"A sense of fullness or pain in the ear that is caused by a buildup of fluid in the middle ear, especially if it does not go away and occurs in just 1 ear",Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
248,Pain and ringing in the ear,Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
249,A sore throat that doesn't seem to go away,Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
250,Trouble breathing or speaking,Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
251,Frequent nosebleeds,Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
252,"Pain, numbness, or paralysis in the face",Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
253,Frequent headaches,Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
254,Difficulty opening the mouth,Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
256,Blurred or double vision,Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
257,Fatigue,Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
258,Unexplained weight loss,Nasopharyngeal Cancer,"Physical examination and blood tests,Endoscopy,Biopsy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Bone scan,Neurological tests,Hearing test,Positron emission tomography (PET) or PET-CT scan.","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Physical therapist,Physical therapist,External-beam radiation therapy,Proton therapy,Stereotactic radiosurgery,Brachytherapy,chemotherapy."
259,The most common symptom is a sore in the mouth or on the lip that does not heal,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
260,"Red or white patch on the gums, tongue, tonsil, or lining of the mouth",Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
261,"Lump on the lip, mouth, neck, or throat or a feeling of thickening in the cheek",Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
262,Persistent sore throat or feeling that something is caught in the throat,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
263,Hoarseness or change in voice,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
264,Numbness of the mouth or tongue,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
265,Pain or bleeding in the mouth,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
266,"Difficulty chewing, swallowing, or moving the jaws or tongue",Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
267,Ear and/or jaw pain,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
268,Chronic bad breath,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
269,Changes in speech,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
270,Loosening of teeth or toothache,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
271,Dentures that no longer fit,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
272,Unexplained weight loss,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
273,Fatigue,Oral and Oropharyngeal Cancer,"Physical examination,Endoscopy,Biopsy,Oral brush biopsy,HPV testing,X-ray,Barium swallow/modified barium swallow,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Ultrasound,Positron emission tomography (PET) or PET-CT scan","Medical oncologist,Radiation oncologist,Surgical oncologist,Otolaryngologist,Reconstructive/plastic surgeon,Maxillofacial prosthodontist,Oncologic dentist or oral oncologist,Prosthodontist,Physical therapist,Speech-language pathologist,Audiologist,Psychologist/psychiatrist,Primary tumor surgery,Glossectomy,Mandibulectomy,Maxillectomy,Neck dissection,Laryngectomy,Transoral robotic surgery and transoral laser microsurgery,Micrographic surgery,Tracheostomy,Gastrostomy tube,Reconstruction,External-beam radiation therapy,Internal radiation therapy,Chemotherapy,Immunotherapy."
